policy_id,policyholder_name,property_address,zone_id,coastal_zone_flag,construction_type,year_built,coverage_type,total_insured_value,policy_start_date,annual_premium
GC-000128,Donna Hendricks DDS,"17271 Contreras Station, Cape Verrin, Belmara County",Z3,Y,Frame,2024,Homeowners,190600.0,2025-07-30,1087.18
GC-000129,Joshua Vance,"258 David Flats, Port Alden, Belmara County",Z1,Y,Frame,2005,Homeowners,424600.0,2023-01-25,2431.61
GC-000130,Cynthia Snyder,"957 Cheryl Corners Apt. 467, Cape Verrin, Belmara County",Z3,Y,Masonry,2009,Commercial,1349000.0,2023-05-22,8144.25
GC-000131,Patricia Morrow,"51778 Anderson Village, Cape Verrin, Belmara County",Z3,Y,Frame,1999,Homeowners,275600.0,2021-05-21,1616.04
GC-000132,Margaret White,"8018 Kevin Estates, Port Alden, Belmara County",Z1,Y,Frame,2003,Homeowners,190400.0,2023-10-01,1099.07
GC-000133,Michael Reed,"43842 Mendez Course Apt. 992, Cape Verrin, Belmara County",Z3,Y,Masonry,1991,Homeowners,339700.0,2022-08-27,1696.71
GC-000134,Marcus Winters,"001 Stacy Trail Suite 396, Marsh Point, Belmara County",Z2,Y,Frame,1982,Homeowners,231500.0,2022-02-24,1447.24
GC-000135,Amanda Small,"473 Evans Cliffs Apt. 276, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1989,Homeowners,446700.0,2022-10-23,1893.04
GC-000136,Mr. Lawrence Edwards,"562 Robertson Coves Suite 371, Marsh Point, Belmara County",Z2,Y,Masonry,1999,Homeowners,216500.0,2026-01-01,1048.71
GC-000137,David Davis,"9632 Peck Stravenue Suite 327, Marsh Point, Belmara County",Z2,Y,Masonry,1983,Homeowners,367300.0,2022-02-22,1889.94
GC-000138,Julie Koch DDS,"8733 Williams Haven, Millbrook, Belmara County",Z6,N,Masonry,2007,Homeowners,148400.0,2025-03-05,451.14
GC-000139,Stephen Pena MD,"62456 Williams Center, Millbrook, Belmara County",Z6,N,Frame,2024,Homeowners,452800.0,2025-02-01,1666.3
GC-000140,Chloe Tran,"8784 David Court, Cape Verrin, Belmara County",Z3,Y,Superior (Reinforced Concrete),2024,Commercial,409400.0,2023-12-23,2081.39
GC-000141,Robert Morgan,"39868 Brandon Dam Suite 787, Millbrook, Belmara County",Z6,N,Masonry,1989,Homeowners,300300.0,2026-03-30,974.99
GC-000142,Steven Taylor,"69495 Erickson Hills Suite 055, Hollow Bay, Belmara County",Z5,N,Frame,2024,Homeowners,221700.0,2024-03-13,815.86
GC-000143,Veronica Silva,"749 Jennifer Prairie, Cape Verrin, Belmara County",Z3,Y,Frame,1983,Homeowners,530600.0,2023-09-15,3304.98
GC-000144,Mr. Nathan Hampton,"30913 Scott Manor Apt. 636, Cape Verrin, Belmara County",Z3,Y,Masonry,1981,Homeowners,311800.0,2021-02-24,1616.12
GC-000145,Lisa Ruiz,"283 Bolton Neck, Millbrook, Belmara County",Z6,N,Frame,2012,Homeowners,161600.0,2021-03-28,594.69
GC-000146,Emily Thompson,"549 Lee Gateway Suite 843, Millbrook, Belmara County",Z6,N,Masonry Veneer,1996,Homeowners,433700.0,2026-02-02,1515.52
GC-000147,Vickie Wise,"757 Castro Underpass, Marsh Point, Belmara County",Z2,Y,Masonry,1978,Homeowners,346500.0,2023-10-04,1815.57
GC-000148,Donna Berry,"5240 Moses Common Suite 747, Ridgeview, Belmara County",Z4,N,Masonry Veneer,2000,Homeowners,289500.0,2026-04-20,996.07
GC-000149,Ronald Nelson,"19933 Elizabeth Pines Apt. 301, Marsh Point, Belmara County",Z2,Y,Masonry,1976,Commercial,620100.0,2021-01-07,4192.94
GC-000150,Mitchell Garcia,"82677 Katelyn Heights, Ridgeview, Belmara County",Z4,N,Masonry,2004,Homeowners,406500.0,2026-04-05,1245.65
GC-000151,Matthew Velez,"938 Robin Extensions, Hollow Bay, Belmara County",Z5,N,Frame,1989,Homeowners,156100.0,2022-01-31,613.51
GC-000152,Ryan Peck,"7240 Kenneth Rapids, Hollow Bay, Belmara County",Z5,N,Frame,1990,Commercial,2305900.0,2026-03-06,11568.15
GC-000153,William Mitchell,"87431 Martin Mount Suite 205, Millbrook, Belmara County",Z6,N,Masonry Veneer,2014,Homeowners,278500.0,2022-12-22,935.76
GC-000154,Laura Todd,"668 Miller Skyway, Cape Verrin, Belmara County",Z3,Y,Masonry,2003,Homeowners,439800.0,2024-05-09,2097.21
GC-000155,William Woods,"46374 Turner Stream, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1988,Homeowners,326400.0,2025-10-17,1822.28
GC-000156,Deborah Ward,"17426 Vaughn Route, Ridgeview, Belmara County",Z4,N,Masonry Veneer,2020,Homeowners,297500.0,2021-02-03,999.6
GC-000157,Elizabeth Mendez,"72795 Miles Mountains, Cape Verrin, Belmara County",Z3,Y,Masonry,1979,Homeowners,352000.0,2021-01-27,1837.76
GC-000158,Rebecca Petersen,"918 Rice Lake, Millbrook, Belmara County",Z6,N,Masonry Veneer,2024,Homeowners,545600.0,2022-03-31,1833.22
GC-000159,Justin Brown,"822 Bond Mills, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,2013,Homeowners,229100.0,2021-05-10,1193.15
GC-000160,Daniel Aguilar,"707 William Motorway, Port Alden, Belmara County",Z1,Y,Masonry,1991,Homeowners,205400.0,2021-05-29,1025.92
GC-000161,Kristin Chambers,"064 Julie Prairie Apt. 065, Hollow Bay, Belmara County",Z5,N,Frame,2003,Homeowners,338300.0,2024-08-26,1259.88
GC-000162,Kimberly Brown,"0462 Katie Stream, Cape Verrin, Belmara County",Z3,Y,Masonry,1989,Homeowners,304100.0,2025-04-21,1530.36
GC-000163,Jennifer Haney,"6618 Desiree Keys Apt. 286, Cape Verrin, Belmara County",Z3,Y,Frame,1992,Commercial,1251200.0,2022-04-27,9656.15
GC-000164,Monica Walker,"47868 Morrow Gateway, Ridgeview, Belmara County",Z4,N,Masonry,1980,Homeowners,161400.0,2021-03-02,541.68
GC-000165,Christopher Lopez,"69033 Craig Bypass, Ridgeview, Belmara County",Z4,N,Frame,2010,Homeowners,222700.0,2021-06-21,819.54
GC-000166,Michael Brennan,"067 Amber Throughway, Millbrook, Belmara County",Z6,N,Frame,1995,Homeowners,213900.0,2023-03-28,821.79
GC-000167,Amy Gordon,"95995 Kevin Divide Apt. 644, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1964,Homeowners,256500.0,2021-08-04,1188.78
GC-000168,Travis Hobbs,"687 Teresa Row, Hollow Bay, Belmara County",Z5,N,Masonry,2012,Homeowners,416900.0,2024-05-08,1267.38
GC-000169,Rachel Flores,"2462 Allen Fork Suite 270, Marsh Point, Belmara County",Z2,Y,Masonry,1995,Homeowners,307800.0,2023-09-08,1514.17
GC-000170,Tracy Grant,"3435 Sandra Vista, Cape Verrin, Belmara County",Z3,Y,Frame,1994,Homeowners,220400.0,2026-02-07,1317.51
GC-000171,Joseph Calderon,"6990 Jacob Trace, Millbrook, Belmara County",Z6,N,Superior (Reinforced Concrete),2016,Commercial,1036900.0,2022-02-06,3401.03
GC-000172,Megan Robinson,"4033 Julie Throughway, Cape Verrin, Belmara County",Z3,Y,Masonry,1965,Homeowners,510900.0,2026-01-11,2802.17
GC-000173,David Munoz,"3854 Owens Run, Port Alden, Belmara County",Z1,Y,Masonry,2010,Homeowners,193700.0,2025-03-31,912.71
